name,price_rate,room_and_property_type,latitude,longitude,person_capacity,review_count,satisfaction_guest
Walk 2 Downtown Gatlinburg/Awesome Mountain Views,82,Entire condo,35.70779,-83.51373,4,42,4.95
⭐️NEW-PristineGburgLoft-2A-Walk2Pancakes🥞 & Slopes⛷,83,Entire condo,35.70976,-83.51323,4,111,4.92
Art Loft! A Real Smoky Mountain Experience...Bear Visits!,84,Entire cabin,35.74673,-83.51497,2,308,4.87
Farmhouse 2 - King Cottage  ☆ Downtown Gatlinburg,85,Entire condo,35.71656,-83.50076,2,214,4.87
Farmhouse 4 - King Cottage Downtown Gatlinburg,85,Entire condo,35.71541,-83.50122,2,197,4.89
Farmhouse 3 - King Cottage Downtown Gatlinburg,85,Entire condo,35.71739,-83.5003,2,190,4.87
Farmhouse 8 - King Cottage Downtown Gatlinburg,85,Entire condo,35.71767,-83.50022,2,219,4.87
"Farmhouse 7 - King Cottage
Downtown Gatlinburg",85,Entire condo,35.71586,-83.50099,2,197,4.81
Smoky Mountain View,85,Entire condo,35.7108,-83.55277,2,156,4.8
Unreal Mt. Leconte Views/Gatlinburg Condo/Hot Tub,86,Entire condo,35.70656,-83.55962,4,219,4.89
Outstanding Mt. LeConte Views/Near DwTn Gatlinburg/Hot Tub/Pool/Brand New Listing,86,Entire condo,35.70765,-83.56006,4,41,4.9
"Magic Moments II, 1 Bedroom, Sleeps 4, Heart Shape Tub, Pool Table, Hot Tub",86,Entire cabin,35.74089,-83.45381,4,9,4.56
Amazing Views Of Mt. LeConte/Hot Tub/15 Min 2 DwTn,88,Entire condo,35.70685,-83.55828,4,194,4.87
Lovely condo w/ indoor pool *only steps to parkway,89,Entire condo,35.709,-83.52229,4,33,4.97
Awesome Mountain View/Hot Tub/Near DwTn Gatlinburg,89,Entire condo,35.70778,-83.56048,6,173,4.78
"Cuddle Bear, 1 Bedroom, Hot Tub, Grill, Jetted Tub, Fireplace, Sleeps 2",93,Entire cabin,35.73947,-83.48342,2,1,5
"Mountain Splendor, 1 Bedroom, Grill, Fireplace, Sleeps 2",93,Entire cabin,35.74216,-83.48014,2,2,3
Extraordinary Mountain Views/Hot Tub/Gatlinburg,94,Entire condo,35.70753,-83.55947,4,119,4.89
4-min walk to Gburg/Newly Renovated/Mtn-City Views,94,Entire condo,35.71074,-83.51413,4,37,4.89
*RIVERFRONT* Condo near downtown Gatlinburg Unit 6,95,Entire condo,35.72503,-83.51183,4,134,4.86
Gorgeous Mountain Views/Near Downtown Gatlinburg,96,Entire cabin,35.73224,-83.46111,6,108,4.86
"Above and Beyond, 2 Bedrooms, Sleeps 6, Private, Amazing View, Hot Tub",96,Entire cabin,35.70012,-83.55526,6,5,4.8
Mountain Romance Cabin in Pigeon Forge,99,Entire cabin,35.77458,-83.61925,2,136,4.85
AMAZING GATLINBURG VIEWS! First Class 2BR Condo,100,Entire condo,35.70731,-83.55893,6,17,5
"LodgeStyle Loft, Mt.LeConte & Gatlinburg Views",101,Entire loft,35.70872,-83.55838,5,193,4.9
NEW REMODELED Mountain Studio as of September 15,102,Entire condo,35.70762,-83.55944,4,38,4.92
Amazing views /Mountain views/New/Gatlinburg,103,Entire loft,35.70891,-83.55899,4,296,4.85
